Ankle Angle Z	Knee Angle Z	Hip Angle Z	Sholder Angle Z	Elbow Angle Z	Wrist Angle Z	Ankle Angle Z	Knee Angle Z	Hip Angle Z	Sholder Angle Z	Elbow Angle Z	Wrist Angle Z	
463.218	203.956	159.907	308.037	609.914	549.690	494.679	280.475	188.372	387.570	574.309	542.089	
463.372	203.998	160.145	309.161	610.213	549.688	494.678	280.813	187.636	386.752	574.151	540.221	
463.602	204.088	160.523	310.775	610.663	549.742	494.723	281.375	186.520	385.497	574.039	537.802	
463.935	204.238	161.054	312.914	611.320	549.864	494.817	282.184	184.967	383.756	574.031	535.063	
464.417	204.471	161.751	315.612	612.262	550.066	494.967	283.266	182.903	381.473	574.205	532.279	
465.111	204.814	162.623	318.899	613.597	550.363	495.181	284.643	180.242	378.587	574.655	529.709	
466.105	205.304	163.679	322.797	615.453	550.755	495.465	286.328	176.888	375.038	575.489	527.547	
467.512	205.983	164.918	327.306	617.965	551.228	495.826	288.300	172.749	370.776	576.814	525.900	
469.457	206.896	166.332	332.402	621.226	551.720	496.266	290.475	167.765	365.778	578.720	524.787	
472.048	208.078	167.901	338.023	625.214	552.125	496.769	292.661	161.945	360.068	581.252	524.165	
475.307	209.546	169.590	344.068	629.714	552.308	497.291	294.521	155.415	353.738	584.386	523.951	
479.093	211.286	171.357	350.395	634.314	552.181	497.724	295.579	148.442	346.962	588.013	524.052	
483.064	213.241	173.148	356.837	638.537	551.760	497.870	295.333	141.399	339.982	591.943	524.374	
486.770	215.320	174.909	363.216	642.021	551.149	497.450	293.474	134.679	333.074	595.946	524.838	
489.833	217.409	176.587	369.363	644.626	550.469	496.243	290.111	128.594	326.495	599.799	525.376	
492.087	219.399	178.143	375.140	646.408	549.810	494.333	285.805	123.317	320.443	603.330	525.940	
493.569	221.203	179.549	380.445	647.524	549.213	492.163	281.306	118.891	315.034	606.437	526.492	
494.435	222.771	180.790	385.213	648.156	548.692	490.223	277.207	115.267	310.315	609.083	527.007	
494.868	224.086	181.866	389.414	648.464	548.244	488.755	273.793	112.352	306.278	611.278	527.469	
495.027	225.155	182.783	393.044	648.574	547.859	487.754	271.105	110.040	302.883	613.060	527.869	
495.034	225.998	183.555	396.118	648.576	547.527	487.116	269.057	108.227	300.074	614.477	528.202	
494.970	226.644	184.197	398.662	648.529	547.239	486.730	267.532	106.827	297.794	615.580	528.467	
494.888	227.120	184.724	400.709	648.475	546.985	486.512	266.418	105.765	295.984	616.416	528.665	
494.820	227.451	185.149	402.296	648.438	546.761	486.405	265.626	104.984	294.594	617.023	528.797	
494.784	227.656	185.485	403.457	648.435	546.560	486.374	265.091	104.440	293.580	617.437	528.866	
