Toe - X pos	Toe - Y pos	Toe - X vel	Toe - Y vel	Toe - X acl	Toe - Y acl	Ankle - X pos	Ankle - Y pos	Ankle - X vel	Ankle - Y vel	Ankle - X acl	Ankle - Y acl	Knee - X pos	Knee - Y pos	Knee - X vel	Knee - Y vel	Knee - X acl	Knee - Y acl	Hip - X pos	Hip - Y pos	Hip - X vel	Hip - Y vel	Hip - X acl	Hip - Y acl	Sholder - X pos	Sholder - Y pos	Sholder - X vel	Sholder - Y vel	Sholder - X acl	Sholder - Y acl	Elbow - X pos	Elbow - Y pos	Elbow - X vel	Elbow - Y vel	Elbow - X acl	Elbow - Y acl	Wrist - X pos	Wrist - Y pos	Wrist - X vel	Wrist - Y vel	Wrist - X acl	Wrist - Y acl	Finger - X pos	Finger - Y pos	Finger - X vel	Finger - Y vel	Finger - X acl	Finger - Y acl	Toe - X pos	Toe - Y pos	Toe - X vel	Toe - Y vel	Toe - X acl	Toe - Y acl	Ankle - X pos	Ankle - Y pos	Ankle - X vel	Ankle - Y vel	Ankle - X acl	Ankle - Y acl	Knee - X pos	Knee - Y pos	Knee - X vel	Knee - Y vel	Knee - X acl	Knee - Y acl	Hip - X pos	Hip - Y pos	Hip - X vel	Hip - Y vel	Hip - X acl	Hip - Y acl	Sholder - X pos	Sholder - Y pos	Sholder - X vel	Sholder - Y vel	Sholder - X acl	Sholder - Y acl	Elbow - X pos	Elbow - Y pos	Elbow - X vel	Elbow - Y vel	Elbow - X acl	Elbow - Y acl	Wrist - X pos	Wrist - Y pos	Wrist - X vel	Wrist - Y vel	Wrist - X acl	Wrist - Y acl	Finger - X pos	Finger - Y pos	Finger - X vel	Finger - Y vel	Finger - X acl	Finger - Y acl	Chin - X pos	Chin - Y pos	Chin - X vel	Chin - Y vel	Chin - X acl	Chin - Y acl	Forhead - X pos	Forhead - Y pos	Forhead - X vel	Forhead - Y vel	Forhead - X acl	Forhead - Y acl	CG - X pos	CG - Y pos	CG - X vel	CG - Y vel	CG - X acl	CG - Y acl	
1.984	-0.002	-0.303	0.306	-431.309	-65.316	1.806	0.070	-0.308	-0.002	427.666	-243.684	1.942	0.559	3.971	-1.826	297.353	-738.292	1.695	0.922	1.564	1.858	1405.778	-733.892	1.670	1.403	12.342	2.188	-126.969	-185.451	1.683	0.989	10.791	1.278	311.941	371.271	2.016	1.022	14.223	6.835	-1476.112	-6.865	2.041	1.053	12.366	6.516	-249.478	-186.500	1.357	0.617	13.876	-1.468	-57.228	432.569	1.562	0.711	13.876	0.384	300.709	-430.696	1.978	0.528	15.146	6.567	-305.306	305.618	1.688	0.872	9.546	0.352	927.029	312.727	1.745	1.446	8.651	2.791	-240.868	430.508	1.711	1.187	4.651	2.481	-424.353	491.716	1.837	0.996	3.149	5.561	732.785	-366.999	1.910	0.904	5.254	2.181	-180.526	307.283	1.789	1.508	8.322	1.557	-61.255	61.355	1.760	1.655	7.990	-0.296	119.953	-184.538	1.750	0.989	7.887	1.725	388.508	-91.984	
1.959	-0.002	-0.611	0.304	369.821	64.805	1.824	0.058	2.171	1.253	68.199	494.698	1.996	0.504	3.937	-4.293	-304.079	244.917	1.780	0.904	7.065	-0.893	-305.577	183.696	1.787	1.415	10.452	-0.282	-251.081	-308.612	1.807	1.021	11.435	4.053	-183.220	183.801	2.084	1.090	9.922	8.040	615.868	247.769	2.152	1.108	11.137	7.426	3.652	368.511	1.493	0.624	14.169	-1.463	115.780	-431.648	1.716	0.693	12.631	0.376	-549.714	429.061	2.115	0.609	13.606	7.782	-2.572	-62.638	1.830	0.891	9.571	2.510	-921.971	118.917	1.819	1.495	7.095	1.863	-70.260	-616.126	1.736	1.236	3.464	5.866	186.974	185.256	1.905	1.034	4.959	3.101	-370.700	-124.884	1.953	0.941	4.043	3.715	-61.613	-0.423	1.869	1.526	8.308	0.940	58.371	-184.651	1.846	1.643	8.632	2.166	8.492	676.948	1.848	1.002	8.358	1.302	-294.310	7.434	
1.971	0.004	0.923	0.008	-63.154	-124.013	1.850	0.095	0.953	2.169	-311.970	-311.322	2.021	0.473	3.989	-0.284	314.428	556.964	1.836	0.904	6.466	0.646	185.824	124.119	1.879	1.397	7.367	-0.598	-365.854	245.466	1.912	1.071	11.111	3.740	118.494	-246.378	2.214	1.182	8.988	7.416	-802.642	-372.601	2.263	1.201	9.622	9.566	-306.533	59.543	1.641	0.588	15.638	-5.465	177.962	-368.808	1.815	0.719	12.312	0.683	485.921	-367.594	2.251	0.684	13.290	8.385	-60.605	183.353	1.879	0.922	6.517	4.652	311.125	309.289	1.887	1.483	7.074	0.630	65.990	369.499	1.780	1.304	5.918	5.563	303.819	-245.929	1.936	1.058	4.338	2.789	246.412	62.451	1.991	0.978	3.718	2.480	-3.420	-246.543	1.955	1.526	8.605	0.632	1.024	123.046	1.933	1.699	8.634	2.781	-8.095	-553.988	1.917	1.015	7.288	2.140	80.217	160.239	
1.977	-0.002	-0.935	-0.934	-308.330	-64.308	1.843	0.102	0.037	2.779	128.939	433.319	2.076	0.498	4.005	0.950	-311.303	-310.249	1.910	0.916	8.335	2.810	187.908	308.806	1.935	1.403	7.394	1.865	371.325	247.039	2.029	1.096	12.323	3.433	123.897	184.838	2.264	1.238	8.686	8.635	742.293	616.494	2.344	1.300	7.153	8.628	-187.415	-247.132	1.806	0.515	17.489	-3.598	192.269	742.242	1.962	0.707	14.119	-1.158	-124.524	-0.525	2.380	0.777	12.979	9.296	-1.655	-1.186	1.960	0.984	12.341	4.365	853.686	-366.537	1.961	1.508	7.090	2.169	-62.676	-61.811	1.854	1.348	6.197	3.713	-247.915	-124.083	1.992	1.089	5.896	4.641	65.173	307.934	2.028	0.991	4.646	3.099	188.903	370.215	2.041	1.539	8.006	2.168	-120.838	184.184	2.019	1.699	8.006	2.162	-117.557	430.240	1.994	1.044	8.711	3.161	204.346	43.868	
1.953	-0.015	1.230	0.010	741.270	253.137	1.850	0.151	1.884	2.794	240.323	-430.503	2.101	0.492	2.444	-0.909	-0.858	-61.635	2.003	0.960	8.640	3.118	-126.799	-247.229	2.027	1.434	9.223	1.253	-5.639	-369.351	2.158	1.139	12.311	3.429	-126.430	-185.461	2.388	1.355	8.674	8.016	-744.782	-740.337	2.406	1.374	6.519	7.391	60.729	-0.359	1.991	0.516	19.013	-2.657	112.638	-553.933	2.097	0.696	14.727	-0.229	246.195	186.213	2.510	0.870	10.793	6.817	-435.611	-494.734	2.126	1.010	11.404	3.741	-1041.121	241.691	2.029	1.526	7.392	2.168	123.063	61.623	1.904	1.378	6.193	3.710	247.036	123.564	2.054	1.151	4.989	5.867	-246.617	-62.754	2.083	1.040	5.270	4.024	-64.093	-185.199	2.115	1.570	8.000	2.167	119.637	-184.432	2.093	1.742	7.403	3.390	-2.948	-184.680	2.091	1.078	8.633	2.777	-219.921	-120.701	
2.002	-0.002	0.615	0.005	-864.215	-254.148	1.881	0.157	3.106	2.185	4.057	308.694	2.125	0.480	4.022	2.490	316.497	741.516	2.083	0.979	9.557	3.427	310.105	308.920	2.119	1.428	8.002	2.171	-238.578	552.940	2.275	1.164	10.460	3.419	-243.657	183.383	2.437	1.398	4.953	4.620	0.535	61.205	2.475	1.448	5.594	7.077	-245.730	-62.425	2.186	0.462	21.443	-2.023	373.287	680.584	2.257	0.703	14.103	0.076	-371.120	-125.159	2.596	0.913	7.092	4.949	-304.559	121.222	2.188	1.059	7.410	4.030	242.322	-183.974	2.109	1.551	7.114	4.625	-178.781	429.873	1.978	1.422	7.115	4.018	-62.703	-61.974	2.092	1.207	4.344	3.708	117.639	-369.092	2.133	1.071	5.271	4.329	64.308	246.254	2.201	1.582	7.684	1.857	-182.743	122.513	2.167	1.767	8.599	1.545	242.052	-184.250	2.167	1.100	7.691	3.269	31.462	219.116	
1.965	-0.015	-0.008	-0.617	739.561	129.634	1.912	0.195	4.044	3.425	183.546	-60.501	2.181	0.542	4.041	4.030	-312.631	-433.426	2.194	1.029	9.868	4.349	-247.793	-124.496	2.187	1.478	6.178	3.703	-126.177	-246.470	2.368	1.208	9.246	4.949	0.780	122.538	2.487	1.448	6.192	6.155	247.284	245.833	2.518	1.515	5.277	6.458	182.267	-61.407	2.419	0.476	21.751	0.754	-311.745	-125.223	2.379	0.697	14.382	-0.538	426.983	2.375	2.652	0.969	7.407	6.175	367.494	123.985	2.274	1.090	9.525	2.189	180.614	-184.061	2.171	1.619	8.627	3.703	481.518	-614.269	2.046	1.459	6.791	3.092	-2.061	-123.260	2.141	1.225	6.181	3.711	249.799	369.782	2.189	1.127	4.954	3.711	-127.715	-369.892	2.269	1.607	7.384	2.777	122.782	61.467	2.265	1.773	8.279	0.929	-305.957	61.084	2.245	1.144	8.152	3.483	60.866	-176.268	
2.002	-0.014	1.578	3.100	-422.224	613.850	1.962	0.226	4.973	4.048	2.225	184.966	2.206	0.561	4.648	3.723	433.965	372.033	2.280	1.066	7.672	0.953	-191.529	-554.554	2.243	1.502	10.756	3.095	1041.770	124.773	2.460	1.263	8.925	4.329	-65.058	-246.370	2.561	1.521	6.146	2.776	-256.454	-921.632	2.580	1.577	6.159	4.001	-5.812	-429.913	2.621	0.477	19.912	3.506	-56.037	675.723	2.545	0.692	15.907	0.393	-122.088	183.821	2.744	1.037	9.225	5.564	-3.881	-246.147	2.378	1.103	9.192	0.649	-247.185	-123.960	2.281	1.625	9.830	2.472	-240.993	368.116	2.114	1.484	6.795	3.705	2.812	245.806	2.215	1.281	6.779	2.789	-130.249	-554.194	2.232	1.146	5.241	2.479	185.212	123.580	2.349	1.638	7.980	1.855	-3.738	-245.858	2.332	1.785	7.069	2.462	63.926	245.551	2.330	1.170	8.658	2.327	40.233	-55.019	
1.997	0.047	1.295	4.949	365.556	-244.070	2.012	0.276	3.754	4.963	-246.006	-1.959	2.274	0.616	6.493	4.349	-64.919	-246.993	2.347	1.048	6.744	0.641	5.976	492.049	2.402	1.540	9.806	0.942	-1231.823	-555.446	2.546	1.294	7.981	2.788	-123.601	-61.988	2.610	1.503	6.729	0.934	372.998	553.089	2.641	1.595	6.746	2.465	123.234	122.775	2.818	0.546	20.510	5.349	175.568	-307.168	2.697	0.705	15.896	1.315	120.026	0.479	2.836	1.080	8.603	5.250	-120.412	183.254	2.458	1.103	6.146	2.174	-361.919	428.874	2.367	1.668	7.998	3.390	-125.345	-184.690	2.182	1.533	6.178	3.702	-126.176	-246.417	2.277	1.281	4.933	2.474	-238.863	491.154	2.294	1.177	5.529	1.249	-127.581	-369.545	2.428	1.644	8.291	2.775	66.057	429.737	2.406	1.822	7.370	2.461	-3.650	-245.732	2.418	1.190	7.620	2.479	-247.800	85.484	
2.028	0.085	3.446	4.964	64.606	247.189	2.037	0.325	2.814	3.721	58.080	-246.453	2.336	0.648	6.163	2.805	-1.148	-61.730	2.415	1.079	8.305	3.413	306.145	62.394	2.439	1.521	3.975	0.008	65.755	368.653	2.620	1.319	7.365	2.784	0.281	61.219	2.696	1.540	7.965	2.470	-125.707	-245.843	2.715	1.626	7.028	0.932	-66.813	-429.543	3.031	0.584	18.931	3.489	-491.290	-64.847	2.862	0.718	15.552	-0.223	-188.791	-308.094	2.916	1.142	8.592	4.939	118.168	-245.387	2.501	1.147	5.546	3.400	241.956	-183.688	2.441	1.693	4.913	1.542	-491.812	-184.910	2.237	1.558	5.860	3.084	62.541	122.880	2.314	1.330	4.648	4.316	181.884	-122.658	2.343	1.171	4.934	2.783	8.518	676.307	2.514	1.693	7.683	3.386	-187.798	-307.397	2.480	1.834	7.659	1.539	61.391	61.309	2.482	1.219	6.612	2.648	46.272	-51.662	
