Toe - X pos	Toe - Y pos	Toe - X vel	Toe - Y vel	Toe - X acl	Toe - Y acl	Ankle - X pos	Ankle - Y pos	Ankle - X vel	Ankle - Y vel	Ankle - X acl	Ankle - Y acl	Knee - X pos	Knee - Y pos	Knee - X vel	Knee - Y vel	Knee - X acl	Knee - Y acl	Hip - X pos	Hip - Y pos	Hip - X vel	Hip - Y vel	Hip - X acl	Hip - Y acl	Sholder - X pos	Sholder - Y pos	Sholder - X vel	Sholder - Y vel	Sholder - X acl	Sholder - Y acl	Elbow - X pos	Elbow - Y pos	Elbow - X vel	Elbow - Y vel	Elbow - X acl	Elbow - Y acl	Wrist - X pos	Wrist - Y pos	Wrist - X vel	Wrist - Y vel	Wrist - X acl	Wrist - Y acl	Finger - X pos	Finger - Y pos	Finger - X vel	Finger - Y vel	Finger - X acl	Finger - Y acl	Toe - X pos	Toe - Y pos	Toe - X vel	Toe - Y vel	Toe - X acl	Toe - Y acl	Ankle - X pos	Ankle - Y pos	Ankle - X vel	Ankle - Y vel	Ankle - X acl	Ankle - Y acl	Knee - X pos	Knee - Y pos	Knee - X vel	Knee - Y vel	Knee - X acl	Knee - Y acl	Hip - X pos	Hip - Y pos	Hip - X vel	Hip - Y vel	Hip - X acl	Hip - Y acl	Sholder - X pos	Sholder - Y pos	Sholder - X vel	Sholder - Y vel	Sholder - X acl	Sholder - Y acl	Elbow - X pos	Elbow - Y pos	Elbow - X vel	Elbow - Y vel	Elbow - X acl	Elbow - Y acl	Wrist - X pos	Wrist - Y pos	Wrist - X vel	Wrist - Y vel	Wrist - X acl	Wrist - Y acl	Finger - X pos	Finger - Y pos	Finger - X vel	Finger - Y vel	Finger - X acl	Finger - Y acl	Chin - X pos	Chin - Y pos	Chin - X vel	Chin - Y vel	Chin - X acl	Chin - Y acl	Forhead - X pos	Forhead - Y pos	Forhead - X vel	Forhead - Y vel	Forhead - X acl	Forhead - Y acl	CG - X pos	CG - Y pos	CG - X vel	CG - Y vel	CG - X acl	CG - Y acl	
2.020	0.079	0.851	0.592	17.800	8.410	1.893	0.157	2.434	2.183	25.458	15.136	1.938	0.577	5.913	0.714	38.158	10.215	1.772	0.960	8.164	1.551	47.027	14.863	1.660	1.445	9.624	1.255	50.370	16.251	1.646	1.167	11.876	1.295	57.832	16.934	1.808	1.158	11.987	3.906	57.170	24.705	1.850	1.165	11.952	4.610	57.056	27.171	1.427	0.547	18.400	1.028	90.657	8.366	1.549	0.667	16.023	0.956	78.505	7.282	1.892	0.678	13.040	4.404	62.857	24.385	1.747	0.972	9.449	2.040	50.831	16.739	1.730	1.557	8.798	1.577	48.046	19.352	1.714	1.362	6.803	2.075	40.864	20.458	1.839	1.211	6.559	1.023	39.315	17.716	1.866	1.150	6.562	0.267	38.770	15.062	1.806	1.577	8.821	1.606	48.836	18.981	1.790	1.742	8.699	1.409	48.295	18.990	1.766	1.066	9.078	1.788	49.452	16.631	
2.029	0.086	1.033	0.671	18.642	7.542	1.919	0.179	2.678	2.317	23.390	11.623	1.999	0.585	6.254	0.813	29.978	9.682	1.856	0.976	8.574	1.692	34.825	13.388	1.759	1.458	10.053	1.415	35.505	15.829	1.768	1.181	12.360	1.462	39.049	16.359	1.930	1.199	12.464	4.128	38.133	19.633	1.973	1.213	12.428	4.850	38.089	20.885	1.615	0.558	19.155	1.104	60.332	6.875	1.713	0.677	16.677	1.023	52.295	6.278	2.026	0.723	13.565	4.615	42.263	17.860	1.844	0.994	9.885	2.196	36.438	14.508	1.820	1.574	9.211	1.767	34.668	18.578	1.784	1.383	7.163	2.271	30.996	18.711	1.907	1.223	6.905	1.201	29.914	17.761	1.934	1.153	6.903	0.424	29.345	16.363	1.897	1.594	9.243	1.792	35.571	18.100	1.879	1.757	9.116	1.597	35.233	18.692	1.859	1.085	9.504	1.945	35.650	14.900	
2.040	0.093	1.213	0.741	17.414	6.359	1.947	0.203	2.891	2.413	19.207	7.617	2.064	0.593	6.501	0.904	19.462	8.413	1.944	0.994	8.849	1.813	20.257	10.791	1.861	1.473	10.322	1.564	18.346	13.853	1.893	1.197	12.645	1.616	17.887	14.411	2.057	1.241	12.738	4.292	16.633	13.111	2.099	1.262	12.702	5.020	16.627	13.109	1.810	0.570	19.592	1.162	27.108	4.768	1.882	0.688	17.055	1.078	23.350	4.596	2.164	0.770	13.871	4.756	19.014	10.287	1.945	1.016	10.166	2.324	19.650	11.109	1.914	1.593	9.479	1.940	18.969	16.074	1.858	1.407	7.412	2.441	18.924	15.380	1.977	1.235	7.146	1.371	18.253	16.344	2.005	1.158	7.138	0.588	17.663	16.292	1.991	1.612	9.520	1.960	19.896	15.501	1.972	1.774	9.391	1.773	19.782	16.536	1.956	1.105	9.779	2.080	19.467	11.928	
2.053	0.101	1.371	0.797	14.157	4.888	1.977	0.227	3.052	2.467	12.993	3.207	2.130	0.603	6.632	0.978	6.835	6.436	2.033	1.013	8.969	1.902	3.638	7.123	1.965	1.489	10.410	1.685	-0.726	10.365	2.021	1.213	12.708	1.743	-5.189	11.122	2.185	1.284	12.786	4.384	-6.847	5.270	2.227	1.313	12.751	5.106	-6.838	4.007	2.007	0.581	19.687	1.197	-8.278	2.101	2.054	0.699	17.134	1.112	-7.681	2.275	2.303	0.818	13.935	4.816	-6.373	1.829	2.047	1.040	10.268	2.413	0.843	6.616	2.010	1.613	9.581	2.080	1.289	11.903	1.933	1.432	7.531	2.571	4.907	10.532	2.050	1.250	7.260	1.521	4.593	13.489	2.077	1.165	7.246	0.743	3.974	14.834	2.087	1.633	9.630	2.093	2.161	11.232	2.067	1.792	9.502	1.919	2.289	12.563	2.054	1.127	9.883	2.178	1.268	7.765	
2.068	0.109	1.487	0.837	8.948	3.164	2.008	0.252	3.141	2.476	4.903	-1.503	2.196	0.613	6.629	1.029	-7.591	3.796	2.123	1.032	8.914	1.950	-14.615	2.472	2.069	1.507	10.300	1.764	-21.256	5.450	2.148	1.231	12.534	1.832	-29.628	6.571	2.313	1.329	12.593	4.392	-31.753	-3.701	2.354	1.364	12.558	5.095	-31.762	-6.213	2.204	0.593	19.420	1.202	-44.980	-1.060	2.225	0.710	16.895	1.120	-40.054	-0.625	2.442	0.866	13.736	4.789	-33.288	-7.320	2.150	1.065	10.175	2.452	-19.529	1.137	2.106	1.634	9.497	2.170	-17.941	6.156	2.008	1.458	7.502	2.645	-10.711	4.281	2.123	1.266	7.230	1.634	-10.746	9.270	2.149	1.173	7.209	0.878	-11.375	12.029	2.184	1.654	9.555	2.176	-17.214	5.403	2.162	1.812	9.429	2.016	-16.837	6.870	2.153	1.149	9.797	2.229	-18.525	2.517	
2.083	0.117	1.541	0.859	1.948	1.232	2.040	0.277	3.142	2.436	-4.835	-6.399	2.262	0.623	6.473	1.051	-23.448	0.572	2.212	1.052	8.670	1.948	-34.072	-3.029	2.171	1.525	9.980	1.787	-42.748	-0.750	2.271	1.250	12.112	1.869	-54.843	0.885	2.437	1.372	12.147	4.305	-57.466	-13.583	2.478	1.415	12.111	4.977	-57.523	-17.296	2.396	0.605	18.785	1.173	-82.140	-4.626	2.392	0.721	16.330	1.097	-73.011	-4.026	2.578	0.914	13.265	4.667	-61.090	-16.937	2.251	1.089	9.872	2.431	-40.982	-5.187	2.200	1.656	9.217	2.196	-38.249	-0.999	2.083	1.485	7.311	2.650	-27.549	-3.204	2.194	1.283	7.039	1.700	-27.363	3.797	2.221	1.182	7.012	0.978	-28.012	7.961	2.278	1.676	9.280	2.194	-37.754	-1.823	2.256	1.833	9.159	2.048	-37.112	-0.374	2.250	1.171	9.507	2.224	-39.413	-3.678	
2.099	0.126	1.518	0.861	-6.619	-0.856	2.071	0.301	3.038	2.347	-15.934	-11.360	2.326	0.634	6.155	1.038	-40.307	-3.145	2.297	1.071	8.229	1.886	-54.209	-9.232	2.269	1.543	9.443	1.743	-64.645	-8.047	2.390	1.269	11.437	1.845	-80.204	-5.770	2.556	1.415	11.443	4.117	-83.354	-24.111	2.596	1.464	11.406	4.746	-83.475	-28.957	2.579	0.617	17.780	1.108	-118.840	-8.491	2.552	0.732	15.436	1.038	-105.715	-7.828	2.708	0.960	12.514	4.449	-89.076	-26.785	2.348	1.113	9.353	2.344	-62.945	-12.181	2.290	1.678	8.730	2.144	-59.114	-9.350	2.154	1.511	6.948	2.575	-45.147	-11.710	2.263	1.300	6.678	1.705	-44.823	-2.762	2.290	1.193	6.645	1.031	-45.483	2.760	2.369	1.698	8.797	2.134	-58.911	-10.229	2.346	1.853	8.684	2.002	-58.024	-8.954	2.344	1.193	9.006	2.152	-60.859	-10.639	
2.114	0.134	1.402	0.842	-16.475	-3.041	2.100	0.324	2.818	2.209	-28.069	-16.257	2.385	0.644	5.665	0.986	-57.702	-7.238	2.376	1.089	7.585	1.760	-74.496	-15.949	2.360	1.560	8.688	1.622	-86.384	-16.215	2.500	1.287	10.510	1.750	-105.057	-13.194	2.666	1.455	10.483	3.821	-108.740	-35.003	2.706	1.510	10.444	4.397	-108.955	-40.877	2.751	0.628	16.415	1.003	-154.171	-12.546	2.701	0.742	14.221	0.939	-137.372	-11.918	2.828	1.003	11.486	4.132	-116.527	-36.609	2.438	1.136	8.614	2.185	-84.865	-19.643	2.375	1.699	8.034	2.004	-79.980	-18.642	2.222	1.537	6.407	2.412	-63.050	-20.983	2.328	1.317	6.141	1.640	-62.654	-10.203	2.354	1.203	6.101	1.028	-63.312	-3.402	2.454	1.719	8.101	1.985	-80.147	-19.560	2.429	1.873	7.998	1.864	-79.007	-18.601	2.431	1.214	8.290	2.008	-82.307	-18.170	
2.127	0.143	1.183	0.800	-27.287	-5.263	2.127	0.345	2.473	2.023	-40.843	-20.966	2.439	0.654	5.000	0.892	-75.130	-11.581	2.448	1.106	6.741	1.566	-94.376	-22.976	2.443	1.575	7.719	1.416	-107.379	-24.991	2.600	1.304	9.341	1.578	-128.758	-21.150	2.765	1.491	9.274	3.416	-132.959	-45.953	2.805	1.552	9.233	3.929	-133.283	-52.739	2.908	0.637	14.708	0.857	-187.249	-16.660	2.836	0.751	12.698	0.799	-167.155	-16.168	2.937	1.042	10.189	3.718	-142.725	-46.151	2.520	1.157	7.659	1.950	-106.130	-27.350	2.451	1.718	7.133	1.768	-100.286	-28.577	2.283	1.560	5.688	2.153	-80.740	-30.744	2.386	1.333	5.426	1.498	-80.347	-18.288	2.412	1.213	5.379	0.959	-80.998	-10.322	2.531	1.738	7.196	1.740	-100.870	-29.516	2.505	1.890	7.106	1.626	-99.502	-29.001	2.509	1.234	7.362	1.787	-103.164	-26.032	
2.137	0.151	0.854	0.737	-38.691	-7.456	2.150	0.364	2.000	1.791	-53.871	-25.359	2.485	0.662	4.164	0.754	-92.084	-16.037	2.511	1.121	5.703	1.300	-113.287	-30.097	2.515	1.588	6.547	1.120	-127.063	-34.094	2.687	1.319	7.944	1.325	-150.685	-29.387	2.851	1.523	7.833	2.903	-155.373	-56.642	2.891	1.588	7.787	3.344	-155.814	-64.194	3.045	0.645	12.685	0.670	-217.235	-20.710	2.955	0.758	10.891	0.616	-194.309	-20.444	3.032	1.077	8.641	3.212	-166.981	-55.156	2.591	1.175	6.497	1.638	-126.178	-35.071	2.517	1.734	6.034	1.431	-119.467	-38.840	2.335	1.580	4.795	1.796	-97.728	-40.681	2.436	1.347	4.537	1.272	-97.387	-26.761	2.461	1.222	4.484	0.819	-98.038	-17.766	2.598	1.754	6.089	1.393	-120.506	-39.779	2.572	1.905	6.014	1.282	-118.928	-39.817	2.578	1.250	6.232	1.487	-122.859	-33.990	
