Toe - X pos	Toe - Y pos	Toe - X vel	Toe - Y vel	Toe - X acl	Toe - Y acl	Ankle - X pos	Ankle - Y pos	Ankle - X vel	Ankle - Y vel	Ankle - X acl	Ankle - Y acl	Knee - X pos	Knee - Y pos	Knee - X vel	Knee - Y vel	Knee - X acl	Knee - Y acl	Hip - X pos	Hip - Y pos	Hip - X vel	Hip - Y vel	Hip - X acl	Hip - Y acl	Sholder - X pos	Sholder - Y pos	Sholder - X vel	Sholder - Y vel	Sholder - X acl	Sholder - Y acl	Elbow - X pos	Elbow - Y pos	Elbow - X vel	Elbow - Y vel	Elbow - X acl	Elbow - Y acl	Wrist - X pos	Wrist - Y pos	Wrist - X vel	Wrist - Y vel	Wrist - X acl	Wrist - Y acl	Finger - X pos	Finger - Y pos	Finger - X vel	Finger - Y vel	Finger - X acl	Finger - Y acl	Toe - X pos	Toe - Y pos	Toe - X vel	Toe - Y vel	Toe - X acl	Toe - Y acl	Ankle - X pos	Ankle - Y pos	Ankle - X vel	Ankle - Y vel	Ankle - X acl	Ankle - Y acl	Knee - X pos	Knee - Y pos	Knee - X vel	Knee - Y vel	Knee - X acl	Knee - Y acl	Hip - X pos	Hip - Y pos	Hip - X vel	Hip - Y vel	Hip - X acl	Hip - Y acl	Sholder - X pos	Sholder - Y pos	Sholder - X vel	Sholder - Y vel	Sholder - X acl	Sholder - Y acl	Elbow - X pos	Elbow - Y pos	Elbow - X vel	Elbow - Y vel	Elbow - X acl	Elbow - Y acl	Wrist - X pos	Wrist - Y pos	Wrist - X vel	Wrist - Y vel	Wrist - X acl	Wrist - Y acl	Finger - X pos	Finger - Y pos	Finger - X vel	Finger - Y vel	Finger - X acl	Finger - Y acl	Chin - X pos	Chin - Y pos	Chin - X vel	Chin - Y vel	Chin - X acl	Chin - Y acl	Forhead - X pos	Forhead - Y pos	Forhead - X vel	Forhead - Y vel	Forhead - X acl	Forhead - Y acl	CG - X pos	CG - Y pos	CG - X vel	CG - Y vel	CG - X acl	CG - Y acl	
1.772	0.251	3.840	0.783	75.333	-301.790	1.592	0.177	3.690	0.816	60.283	-197.263	1.321	0.595	3.977	1.092	113.618	-133.662	0.979	0.877	3.167	2.072	309.346	-134.375	0.811	1.355	3.500	3.138	129.349	-233.306	0.587	1.226	3.453	2.649	204.434	-337.391	0.643	0.996	4.132	2.930	205.754	-340.186	0.662	0.936	4.267	2.830	231.821	-312.575	0.050	0.285	2.581	0.469	354.390	282.942	0.228	0.455	3.091	1.177	362.710	142.860	0.685	0.487	4.185	1.630	230.951	-202.769	0.884	0.869	3.489	2.260	237.548	-155.059	0.913	1.469	3.469	3.327	190.232	-228.596	1.105	1.288	3.527	2.984	66.090	-233.548	1.140	1.367	3.572	3.017	215.554	-441.015	1.124	1.415	3.564	3.089	271.112	-542.887	1.009	1.440	3.688	3.329	149.252	-176.507	1.007	1.602	3.669	3.659	143.833	-160.606	0.924	0.979	3.535	2.348	207.341	-175.442	
1.841	0.243	6.530	-2.059	-76.656	-241.694	1.658	0.177	6.195	-0.864	-78.938	-166.421	1.398	0.604	7.547	0.270	-27.189	-127.556	1.056	0.902	8.400	1.737	137.782	-160.475	0.883	1.392	7.218	2.394	14.483	-258.840	0.664	1.246	8.129	0.358	81.470	-329.396	0.733	1.022	9.354	0.981	72.665	-325.342	0.756	0.963	9.835	1.191	86.678	-297.901	0.124	0.313	8.524	3.839	224.143	193.416	0.311	0.485	9.372	3.355	212.739	66.652	0.777	0.500	9.621	0.449	83.402	-187.310	0.962	0.896	8.202	1.782	81.642	-182.537	0.988	1.509	7.736	2.642	53.155	-267.440	1.171	1.321	6.382	1.993	-44.792	-265.036	1.218	1.385	8.028	-0.296	58.885	-422.075	1.205	1.427	8.624	-1.303	99.686	-498.768	1.085	1.484	7.601	3.242	15.067	-227.721	1.082	1.652	7.503	3.838	10.962	-231.974	1.001	1.006	8.007	1.733	62.459	-197.492	
1.902	0.210	5.003	-4.176	-228.646	-181.599	1.716	0.160	4.710	-2.374	-218.159	-135.579	1.472	0.600	6.571	-0.975	-167.997	-121.450	1.147	0.911	8.920	0.001	-33.783	-186.576	0.956	1.403	6.788	-0.322	-100.384	-284.375	0.750	1.233	8.329	-2.896	-41.494	-321.400	0.830	1.015	9.416	-2.199	-60.424	-310.499	0.859	0.960	9.976	-1.715	-58.466	-283.228	0.220	0.362	10.114	5.325	93.896	103.891	0.415	0.522	10.750	3.640	62.768	-9.555	0.877	0.496	9.717	-1.346	-64.146	-171.851	1.048	0.905	8.239	-0.181	-74.264	-210.016	1.068	1.522	7.582	-0.227	-83.922	-306.284	1.233	1.328	5.380	-0.815	-155.673	-296.524	1.301	1.361	7.833	-4.422	-97.785	-403.135	1.296	1.389	8.763	-6.070	-71.739	-454.649	1.162	1.505	7.081	0.708	-119.119	-278.934	1.157	1.679	6.948	1.162	-121.908	-303.342	1.084	1.014	7.907	-0.352	-82.424	-219.542	
1.941	0.159	2.538	-5.500	-264.356	-83.124	1.752	0.129	2.400	-3.399	-243.746	-69.393	1.530	0.584	4.840	-1.965	-178.225	-76.665	1.234	0.902	8.196	-1.644	-110.940	-142.404	1.019	1.385	5.807	-2.747	-95.874	-200.635	0.831	1.188	7.892	-5.603	-45.832	-219.961	0.921	0.978	8.885	-4.688	-45.609	-187.331	0.956	0.929	9.426	-3.949	-51.421	-163.601	0.326	0.420	10.834	5.947	50.046	20.513	0.526	0.558	11.153	3.331	17.800	-52.338	0.971	0.474	9.068	-2.682	-65.724	-95.295	1.127	0.892	7.271	-2.030	-119.400	-159.786	1.139	1.504	6.626	-2.918	-107.275	-232.018	1.279	1.305	3.854	-3.430	-149.505	-226.529	1.374	1.296	6.636	-7.820	-141.602	-276.455	1.380	1.305	7.743	-9.828	-132.316	-296.922	1.226	1.498	5.828	-1.773	-131.524	-217.446	1.221	1.675	5.670	-1.623	-133.762	-253.642	1.159	0.999	6.933	-2.253	-112.373	-160.543	
1.953	0.100	0.259	-5.766	-191.470	29.901	1.764	0.092	0.354	-3.669	-165.445	15.462	1.569	0.561	3.559	-2.400	-78.013	-10.365	1.311	0.878	7.166	-2.591	-95.118	-47.079	1.072	1.348	5.351	-3.965	4.653	-43.030	0.908	1.121	7.885	-6.988	44.438	-57.058	1.008	0.921	9.070	-5.604	82.611	4.005	1.048	0.881	9.542	-4.664	74.670	20.487	0.437	0.480	11.481	5.823	79.455	-45.408	0.638	0.588	11.556	2.777	62.880	-58.458	1.058	0.442	8.990	-3.068	50.153	18.192	1.194	0.864	6.359	-3.086	-62.878	-51.558	1.200	1.463	5.923	-4.461	-33.264	-76.404	1.310	1.259	2.866	-4.970	-47.981	-81.419	1.434	1.204	5.511	-9.592	-83.436	-77.983	1.451	1.192	6.634	-11.653	-89.569	-68.204	1.278	1.469	4.966	-3.228	-40.890	-73.389	1.271	1.646	4.785	-3.441	-43.120	-109.843	1.223	0.969	6.160	-3.277	-42.077	-44.242	
1.946	0.044	-0.976	-4.970	-55.403	129.147	1.759	0.056	-0.619	-3.109	-29.225	96.392	1.601	0.536	3.532	-2.185	72.665	53.517	1.378	0.850	6.585	-2.508	-21.176	63.646	1.126	1.306	6.092	-3.537	143.585	128.701	0.989	1.048	8.964	-6.689	171.306	117.005	1.103	0.866	10.720	-4.570	247.315	202.795	1.147	0.835	11.125	-3.516	241.834	209.263	0.556	0.536	12.590	5.140	142.272	-91.100	0.757	0.613	12.616	2.292	149.208	-38.404	1.151	0.412	10.302	-2.306	212.119	134.149	1.254	0.831	6.296	-2.963	50.150	76.193	1.258	1.415	6.191	-4.331	86.747	102.334	1.336	1.205	3.094	-4.933	93.594	88.729	1.485	1.104	5.239	-9.307	28.996	135.030	1.513	1.072	6.242	-11.154	11.290	168.136	1.326	1.433	5.249	-3.117	97.462	95.532	1.316	1.606	5.046	-3.641	95.195	69.810	1.282	0.934	6.339	-3.063	77.819	87.085	
1.933	0.001	-0.852	-3.377	80.180	189.632	1.752	0.030	-0.255	-1.870	102.091	151.497	1.640	0.517	4.889	-1.452	198.693	93.015	1.443	0.828	6.777	-1.438	59.676	150.474	1.194	1.277	8.072	-1.632	252.306	252.268	1.087	0.987	11.154	-4.851	266.699	250.563	1.222	0.830	13.756	-1.816	359.894	348.091	1.270	0.811	14.127	-0.750	358.515	343.959	0.689	0.583	14.253	4.085	190.279	-120.048	0.891	0.634	14.441	2.047	215.765	-10.716	1.264	0.396	13.036	-0.539	334.851	219.237	1.320	0.805	7.337	-1.682	158.200	179.930	1.324	1.377	7.565	-2.615	188.109	240.805	1.372	1.161	4.606	-3.350	208.685	227.928	1.538	1.018	6.044	-7.119	132.070	302.576	1.576	0.969	6.838	-8.573	107.852	347.893	1.383	1.407	6.809	-1.511	214.517	225.607	1.372	1.574	6.585	-2.203	212.691	217.733	1.350	0.907	7.640	-1.688	182.337	187.882	
1.929	-0.024	0.339	-1.444	158.042	196.949	1.754	0.018	1.121	-0.281	173.045	166.241	1.699	0.507	7.076	-0.507	238.801	95.928	1.513	0.821	7.582	0.237	101.279	184.354	1.287	1.273	10.720	1.053	277.295	284.737	1.212	0.951	13.881	-2.061	278.709	307.416	1.378	0.829	17.325	1.916	353.888	398.384	1.429	0.820	17.693	2.900	354.708	385.892	0.841	0.618	16.139	2.795	187.007	-137.839	1.046	0.654	16.591	2.024	214.183	6.054	1.412	0.401	16.469	1.816	351.657	251.697	1.401	0.797	9.167	0.347	207.645	226.014	1.409	1.362	9.597	0.052	218.188	292.679	1.428	1.138	6.873	-0.744	244.819	293.360	1.605	0.962	7.562	-3.702	171.595	380.895	1.650	0.901	8.106	-4.705	145.813	425.877	1.462	1.403	9.151	0.967	254.068	269.942	1.448	1.562	8.916	0.292	253.483	281.264	1.435	0.900	9.640	0.377	217.634	225.115	
1.940	-0.028	1.871	0.299	148.324	151.680	1.774	0.024	2.766	1.241	155.967	138.086	1.781	0.507	9.113	0.292	168.550	63.978	1.594	0.833	8.490	1.940	80.452	156.269	1.408	1.298	13.105	3.562	199.798	217.075	1.364	0.946	16.228	0.866	190.797	277.907	1.569	0.868	20.145	5.629	210.103	344.152	1.624	0.869	20.509	6.469	208.565	328.065	1.012	0.639	17.685	1.366	122.185	-148.046	1.222	0.675	18.301	2.058	127.882	0.771	1.594	0.432	19.424	4.211	239.259	227.448	1.503	0.812	11.068	2.486	172.613	201.816	1.516	1.378	11.468	2.737	156.132	244.254	1.509	1.146	9.012	2.069	182.837	269.247	1.690	0.944	9.037	-0.019	123.404	355.696	1.738	0.875	9.335	-0.628	99.858	389.383	1.566	1.426	11.389	3.389	193.483	214.636	1.550	1.579	11.158	2.902	194.882	240.743	1.542	0.915	11.534	2.449	161.202	189.258	
1.966	-0.018	2.906	1.406	58.564	69.578	1.810	0.043	3.848	2.319	60.433	77.563	1.881	0.513	10.002	0.672	9.253	11.944	1.683	0.860	8.918	3.120	5.004	79.709	1.549	1.345	14.316	5.030	42.307	76.449	1.536	0.968	17.319	3.159	27.395	180.724	1.781	0.942	21.017	8.397	-35.781	209.327	1.840	0.950	21.328	9.088	-44.827	195.641	1.195	0.645	18.373	-0.124	15.448	-149.848	1.412	0.695	18.834	1.931	-21.348	-26.134	1.800	0.486	20.751	6.149	26.165	159.994	1.622	0.847	12.250	4.092	63.767	119.327	1.639	1.417	12.350	4.549	20.232	118.130	1.609	1.180	10.143	4.271	43.441	170.964	1.786	0.962	9.664	2.987	1.985	245.463	1.836	0.888	9.748	2.623	-17.161	260.941	1.690	1.471	12.614	4.877	51.423	82.877	1.671	1.620	12.408	4.683	55.135	115.385	1.666	0.949	12.489	3.879	29.722	96.811	
